Gene,lof.oe_ci.upper
DHX37,0.442
DHX38,0.739
DHX40,0.508
DHX57,0.737
DHX58,0.913
DHX8,0.528
DHX9,0.263
DIABLO,1.025
DIAPH1,0.367
DIAPH3,0.858
DICER1,0.274
DIDO1,0.235
DIMT1,1.06
DIO1,0.887
DIO2,1.276
DIO3,0.537
DIP2A,0.61
DIP2B,0.448
DIP2C,0.211
DIPK1A,0.947
DIPK1B,1.215
DIPK1C,1.716
DIPK2A,0.848
DIRAS1,0.901
DIRAS2,0.782
DIRAS3,1.84
DIS3,1.029
DIS3L,0.914
DIS3L2,0.468
DISC1,0.75
DISP1,1.028
DISP2,0.772
DISP3,0.873
DIXDC1,0.77
DKKL1,0.896
DKK 1.00,1.101
DKK 2.00,0.621
DKK 3.00,0.897
DKK 4.00,1.636
DLAT,0.732
DLC1,0.337
DLD,0.695
DLEC1,0.805
DLEU7,1.902
DLG1,0.441
DLG2,0.299
DLG4,0.079
DLG5,0.318
DLGAP1,0.16
DLGAP2,0.401
DLGAP3,0.367
DLGAP4,0.296
DLGAP5,1.106
DLK1,0.415
DLK2,0.365
DLL1,0.236
DLL3,1.512
DLL4,0.197
DLST,0.489
DLX1,0.546
DLX2,0.529
DLX3,0.517
DLX4,0.83
DLX5,0.498
DLX6,0.194
DMAC1,1.745
DMAC2,1.191
DMAC2L,1.315
DMAP1,0.691
DMBT1,0.817
DMBX1,0.407
DMC1,0.975
DMGDH,0.942
DMKN,1.023
DMP1,1.209
DMPK,0.62
DMRT1,0.428
DMRT2,1.106
DMRT3,1.273
DMRTA1,1.279
DMRTA2,1.236
DMRTB1,0.716
DMRTC2,0.37
DMTF1,0.507
DMTN,0.68
DMWD,0.65
DMXL1,0.343
DMXL2,0.298
DNA2,0.915
DNAAF1,1.068
DNAAF10,0.991
DNAAF11,1.018
DNAAF2,1.811
DNAAF3,1.08
DNAAF4,1.018
DNAAF5,1.071
DNAAF8,1.456
DNAAF9,0.595
DNAH1,0.751
DNAH10,0.749
DNAH11,0.912
DNAH12,0.816
DNAH14,0.822
DNAH17,0.854
DNAH2,0.636
DNAH3,0.822
DNAH5,0.764
DNAH6,0.75
DNAH7,0.925
DNAH8,0.692
DNAH9,0.755
DNAI1,0.846
DNAI2,0.932
DNAI3,0.879
DNAI4,0.839
DNAI7,1.177
DNAJA1,0.772
DNAJA2,0.258
DNAJA3,0.733
DNAJA4,1.019
DNAJB1,0.739
DNAJB11,0.933
DNAJB12,0.462
DNAJB13,0.9
DNAJB14,0.64
DNAJB2,0.695
DNAJB3,1.474
DNAJB4,0.617
DNAJB5,0.467
DNAJB6,0.68
DNAJB7,1.85
DNAJB8,1.786
DNAJB9,0.964
DNAJC1,0.961
DNAJC10,1.028
DNAJC11,0.257
DNAJC12,1.181
DNAJC13,0.26
DNAJC14,0.272
DNAJC15,1.634
DNAJC16,0.933
DNAJC17,0.95
DNAJC18,1.0
DNAJC19,1.229
DNAJC2,0.462
DNAJC21,1.03
DNAJC22,1.234
DNAJC24,1.514
DNAJC25,0.961
DNAJC25-GNG10,1.919
DNAJC27,0.799
DNAJC28,0.972
DNAJC3,0.709
DNAJC30,1.484
DNAJC4,1.444
DNAJC5,0.205
DNAJC5B,1.275
DNAJC5G,1.019
DNAJC6,0.373
DNAJC7,0.312
DNAJC8,0.733
DNAJC9,0.842
DNAL1,1.214
DNAL4,1.329
DNALI1,1.202
DNASE1,1.414
DNASE1L2,1.748
DNASE1L3,1.1
DNASE2,1.108
DNASE2B,1.21
DND1,0.635
DNER,0.561
DNHD1,0.897
DNLZ,1.928
DNM1,0.377
DNM1L,0.476
DNM2,0.213
DNM3,0.634
DNMBP,0.658
DNMT1,0.131
DNMT3A,0.712
DNMT3B,0.392
DNMT3L,1.179
DNPEP,0.953
DNPH1,1.906
DNTT,0.942
DNTTIP1,0.604
DNTTIP2,0.976
DOC2A,0.732
DOC2B,1.371
DOCK1,0.61
DOCK10,0.63
DOCK2,0.42
DOCK3,0.262
DOCK4,0.358
DOCK5,0.679
DOCK6,0.829
DOCK7,0.493
DOCK8,0.586
DOCK9,0.365
DOHH,1.684
DOK1,0.725
DOK2,1.495
DOK3,1.345
DOK4,0.846
DOK5,0.932
DOK6,0.625
DOK7,1.547
DOLK,0.858
DOLPP1,0.69
DONSON,0.906
DOP1A,0.386
DOP1B,0.831
DOT1L,0.321
DPAGT1,0.795
DPCD,1.01
DPEP1,1.47
DPEP2,0.945
DPEP2NB,1.863
DPEP3,1.077
DPF1,0.362
DPF2,0.266
DPF3,0.471
DPH1,1.298
DPH2,0.882
DPH3,1.439
DPH5,1.041
DPH6,1.053
DPH7,1.245
DPM1,0.96
DPM2,1.165
DPM3,1.331
DPP10,0.378
DPP3,0.812
DPP4,0.894
DPP6,0.729
DPP7,1.623
DPP8,0.337
DPP9,0.534
DPPA2,1.004
DPPA3,1.113
DPPA4,0.706
DPPA5,1.484
DPRX,1.777
DPT,0.963
DPY19L1,0.607
DPY19L2,0.699
DPY19L3,0.673
DPY19L4,1.154
DPY30,0.67
DPYD,1.09
DPYS,1.001
DPYSL2,0.245
DPYSL3,0.366
DPYSL4,0.833
DPYSL5,0.268
DQX1,0.971
DR1,0.649
DRAM1,1.134
DRAM2,1.115
DRAP1,0.738
DRAXIN,1.082
DRC1,0.867
DRC3,1.054
DRC7,0.852
DRD1,0.252
DRD2,0.316
DRD3,0.604
DRD4,1.952
DRD5,1.851
DRG1,0.698
DRG2,0.907
DRGX,1.062
DRICH1,1.247
DROSHA,0.366
DSC1,0.951
DSC2,0.74
DSC3,1.271
DSCAM,0.277
DSCAML1,0.253
DSCC1,0.846
DSE,0.56
DSEL,0.743
DSG1,0.455
DSG2,0.739
DSG3,0.85
DSG4,1.061
DSN1,0.835
DSP,0.424
DSPP,1.271
DST,0.233
DSTN,1.005
DSTYK,0.436
DTD1,0.702
DTD2,1.429
DTHD1,0.995
DTL,0.564
DTNA,0.432
DTNB,0.898
DTNBP1,1.032
DTWD1,1.283
DTWD2,1.711
DTX1,0.74
DTX2,0.8
DTX3,0.539
DTX3L,0.686
DTX4,0.732
DTYMK,1.139
DUOX1,0.863
DUOX2,1.153
DUOXA1,0.851
DUOXA2,1.16
DUS1L,1.098
DUS2,0.859
DUS3L,1.139
DUS4L,1.178
DUS4L-BCAP29,1.13
DUSP1,0.691
DUSP10,0.704
DUSP11,1.286
DUSP12,0.938
DUSP13,1.13
DUSP14,0.766
DUSP15,1.226
DUSP16,0.502
DUSP18,0.954
DUSP19,1.516
DUSP2,1.442
DUSP22,1.407
DUSP23,1.352
DUSP26,0.818
DUSP28,1.954
DUSP29,1.44
DUSP3,0.645
DUSP4,0.715
DUSP5,1.069
DUSP6,0.372
DUSP7,0.547
DUSP8,0.813
DUT,1.539
DUXA,1.18
DVL1,0.993
DVL2,0.719
DVL3,0.528
DXO,1.163
DYDC1,1.06
DYDC2,1.382
DYM,0.962
DYNAP,1.221
DYNC1H1,0.106
DYNC1I1,0.644
DYNC1I2,0.821
DYNC1LI1,0.361
DYNC1LI2,0.415
DYNC2H1,0.759
DYNC2I1,0.772
DYNC2I2,1.036
DYNC2LI1,0.862
DYNLL1,0.744
DYNLL2,0.462
DYNLRB1,0.766
DYNLRB2,1.615
DYNLT1,1.276
DYNLT2,1.376
DYNLT2B,1.236
DYNLT4,1.943
DYNLT5,1.657
DYRK1A,0.172
DYRK1B,0.334
DYRK2,0.472
DYRK3,0.982
DYRK4,1.08
DYSF,0.822
DYTN,1.328
DZANK1,1.17
DZIP1,0.992
DZIP1L,1.161
DZIP3,0.781
E2F1,0.399
E2F2,0.673
E2F3,0.277
E2F4,0.497
E2F5,1.003
E2F6,1.02
E2F7,0.521
E2F8,0.539
E4F1,0.389
EAF1,1.012
EAF2,1.112
EAPP,1.241
EARS2,1.06
EBAG9,0.58
EBF1,0.251
EBF2,0.394
EBF3,0.251
EBF4,0.659
EBI3,1.373
EBLN1,1.908
EBLN2,1.962
EBNA1BP2,1.006
EBPL,1.412
ECD,0.825
ECE1,0.474
ECE2,0.932
ECEL1,1.088
ECH1,1.067
ECHDC1,1.318
ECHDC2,0.992
ECHDC3,1.429
ECHS1,0.907
ECI1,1.376
ECI2,0.931
ECM1,1.039
ECM2,0.729
ECPAS,0.305
ECRG4,1.476
ECSCR,1.179
ECSIT,0.996
ECT2,0.635
ECT2L,1.11
EDAR,0.927
EDARADD,0.699
EDC3,0.534
EDC4,0.494
EDDM13,1.943
EDDM3A,1.943
EDDM3B,1.883
EDEM1,0.978
EDEM2,0.744
EDEM3,0.671
EDF1,0.497
EDIL3,0.702
EDN1,0.839
EDN2,0.969
EDN3,0.696
EDNRA,0.424
EDNRB,0.554
EDRF1,0.485
EEA1,0.651
EED,0.409
EEF1A1,0.126
EEF1A2,0.295
EEF1AKMT1,1.169
EEF1AKMT2,1.441
EEF1AKMT3,1.345
EEF1AKMT4,1.045
EEF1AKMT4-ECE2,0.885
EEF1AKNMT,0.864
EEF1B2,0.688
EEF1D,1.031
EEF1E1,1.21
EEF1E1-BLOC1S5,
EEF1G,0.397
EEF2,0.39
EEF2K,0.896
EEF2KMT,1.377
EEFSEC,1.314
EEPD1,0.561
EFCAB1,1.35
EFCAB10,1.78
EFCAB11,1.029
EFCAB12,0.947
EFCAB13,0.953
EFCAB14,0.959
EFCAB2,1.16
EFCAB3,1.097
EFCAB5,0.852
EFCAB6,0.988
EFCAB7,1.112
EFCAB8,0.888
EFCAB9,1.493
EFCC1,1.252
EFEMP1,0.329
EFEMP2,0.56
EFHB,1.197
EFHC1,0.857
EFHD1,1.012
EFHD2,1.027
EFL1,0.718
EFNA1,0.59
EFNA2,1.275
EFNA3,1.033
EFNA4,1.332
EFNA5,0.476
EFNB2,0.261
EFNB3,0.805
EFR3A,0.928
EFR3B,0.737
EFS,1.165
EFTUD2,0.145
EGF,0.719
EGFL7,1.797
EGFL8,1.058
EGFLAM,0.828
EGFR,0.465
EGLN1,0.519
EGLN2,0.582
EGLN3,0.8
EGR1,0.462
EGR2,0.401
EGR3,0.396
EGR4,1.525
EHBP1,0.497
EHBP1L1,1.051
EHD1,0.676
EHD2,0.943
EHD3,0.578
EHD4,1.018
EHF,0.434
EHHADH,0.873
EHMT1,0.14
EHMT2,0.459
EI24,0.699
EID1,0.544
EID2,1.295
EID2B,1.759
EID3,1.908
EIF1,0.626
EIF1AD,0.689
EIF1B,0.8
EIF2A,1.016
EIF2AK1,0.884
EIF2AK2,0.719
EIF2AK3,0.559
EIF2AK4,0.75
EIF2B1,1.06
EIF2B2,1.25
EIF2B3,0.522
EIF2B4,0.617
EIF2B5,0.512
EIF2D,0.84
EIF2S1,0.256
EIF2S2,0.223
EIF2S3B,0.896
EIF3A,0.18
EIF3B,0.093
EIF3C,0.746
EIF3D,0.191
EIF3E,0.756
EIF3F,0.46
EIF3G,0.408
EIF3H,0.602
EIF3I,0.553
EIF3J,0.587
EIF3K,1.041
EIF3L,0.585
EIF3M,0.42
EIF4A1,0.226
EIF4A2,0.298
EIF4A3,0.084
EIF4B,0.176
EIF4E,0.09
EIF4E1B,0.946
EIF4E2,0.654
EIF4E3,1.256
EIF4EBP1,1.282
EIF4EBP2,1.607
EIF4EBP3,1.594
EIF4ENIF1,0.243
EIF4G1,0.048
EIF4G2,0.117
EIF4G3,0.167
EIF4H,0.201
EIF5,0.277
EIF5A,0.278
EIF5A2,1.301
EIF5AL1,1.225
EIF5B,0.382
EIF6,0.56
EIPR1,0.713
ELAC1,1.045
ELAC2,0.962
ELANE,1.245
ELAPOR1,0.634
ELAPOR2,0.937
ELAVL1,0.158
ELAVL2,0.24
ELAVL3,0.341
ELAVL4,0.133
ELF1,0.656
ELF2,0.14
ELF3,0.678
ELF5,1.064
ELFN1,1.841
ELFN2,0.566
ELK3,0.608
ELK4,0.856
ELL,0.445
ELL2,0.348
ELL3,1.018
ELMO1,0.343
ELMO2,0.485
ELMO3,1.082
ELMOD1,0.657
ELMOD2,0.815
ELMOD3,1.021
ELN,0.595
ELOA,0.285
ELOA2,1.841
ELOA3CP,
ELOB,0.788
ELOC,0.304
ELOF1,1.026
ELOVL1,0.427
ELOVL2,1.243
ELOVL3,1.134
ELOVL4,0.649
ELOVL5,0.405
ELOVL6,0.428
ELOVL7,1.025
ELP1,0.769
ELP2,0.835
ELP3,0.931
ELP4,1.373
ELP5,1.313
ELP6,1.184
ELSPBP1,1.467
EMB,0.798
EMC1,0.909
EMC10,1.584
EMC2,1.781
EMC3,0.545
EMC4,0.707
EMC6,0.734
EMC7,0.327
EMC8,0.915
EMC9,1.115
EMCN,1.355
EME1,1.053
EME2,1.898
EMG1,1.206
EMID1,0.973
EMILIN1,0.832
EMILIN2,1.047
EMILIN3,1.127
EML1,0.342
EML2,0.768
EML3,0.63
EML4,0.679
EML5,0.562
EML6,0.721
EMP1,0.629
EMP2,1.855
EMP3,1.021
EMSY,0.18
EMX1,1.24
EMX2,0.499
EN1,0.724
EN2,0.775
ENAH,0.423
ENAM,0.892
ENC1,0.643
ENDOD1,1.843
ENDOG,1.847
ENDOU,1.094
ENDOV,1.439
ENG,0.374
ENGASE,1.018
ENHO,1.871
ENKD1,1.365
ENKUR,0.919
ENO1,0.912
ENO2,0.459
ENO3,1.083
ENO4,0.814
ENOPH1,0.733
ENOSF1,1.098
ENOX1,0.618
ENPEP,1.023
ENPP1,0.729
ENPP2,0.588
ENPP3,1.044
ENPP4,0.835
ENPP5,1.113
ENPP6,0.997
ENPP7,1.288
ENSA,0.62
ENTHD1,0.881
ENTPD1,0.657
ENTPD2,1.377
ENTPD3,1.352
ENTPD4,0.889
ENTPD5,0.9
ENTPD6,0.86
ENTPD7,0.813
ENTPD8,0.959
ENTR1,1.153
ENY2,0.309
EOGT,1.121
EOMES,0.462
EP300,0.162
EP400,0.365
EPAS1,0.366
EPB41,0.538
EPB41L1,0.326
EPB41L2,0.367
EPB41L3,0.456
EPB41L4A,1.261
EPB41L4B,0.286
EPB41L5,0.601
EPB42,0.738
EPC1,0.19
EPC2,0.203
EPCAM,1.309
EPDR1,1.517
EPG5,0.58
EPGN,1.271
EPHA1,0.989
EPHA10,1.347
EPHA2,0.65
EPHA3,0.435
EPHA4,0.231
EPHA5,0.711
EPHA6,0.582
EPHA7,0.271
EPHA8,0.691
EPHB1,0.441
EPHB2,0.264
EPHB3,0.435
EPHB4,0.641
EPHB6,0.596
EPHX1,1.085
EPHX2,1.08
EPHX3,1.166
EPHX4,0.931
EPM2A,0.734
EPM2AIP1,0.691
EPN1,0.706
EPN2,0.716
EPN3,1.251
EPO,0.819
EPOP,1.896
EPOR,0.787
EPPIN,1.255
EPPIN-WFDC6,1.318
EPPK1,1.399
EPRS1,0.549
EPS15,0.817
EPS15L1,0.425
EPS8,0.443
EPS8L1,1.291
EPS8L2,1.164
EPS8L3,0.996
EPSTI1,1.298
EPX,0.984
EPYC,1.396
EQTN,1.732
ERAL1,0.823
ERAP1,0.947
ERAP2,1.239
ERBB2,0.512
ERBB3,0.682
ERBB4,0.278
ERBIN,0.488
ERC1,0.483
ERC2,0.439
ERCC1,1.203
ERCC2,0.997
ERCC3,0.776
ERCC4,0.932
ERCC5,0.766
ERCC6,0.803
ERCC6L2,0.659
ERCC8,1.321
EREG,1.843
ERF,0.443
ERFE,1.697
ERFL,0.603
ERG,0.228
ERG28,0.951
ERGIC1,0.683
ERGIC2,1.266
ERGIC3,0.763
ERH,0.43
ERI1,1.348
ERI2,0.957
ERI3,0.352
ERICH1,1.728
ERICH2,1.545
ERICH3,1.082
ERICH4,1.89
ERICH5,1.148
ERICH6,1.147
ERICH6B,0.995
ERLEC1,0.796
ERLIN1,1.049
ERLIN2,0.687
ERMAP,0.913
ERMARD,0.916
ERMN,0.963
ERMP1,1.17
ERN 1.00,0.467
ERN 2.00,1.15
ERO1A,1.162
ERO1B,0.764
ERP27,0.999
ERP29,0.962
ERP44,0.816
ERRFI1,0.828
ERV3-1,
ERV3-1-ZNF117,1.181
ERVFRD-1,0.957
ERVMER34-1,1.821
ERVV-1,
ERVV-2,1.451
ESAM,1.009
ESCO1,0.488
ESCO2,0.938
ESD,1.457
ESF1,0.854
ESM1,0.484
ESPL1,0.288
ESPN,1.013
ESPNL,1.549
ESR1,0.354
ESR2,0.928
ESRP1,0.445
ESRP2,0.737
ESRRA,0.437
ESRRB,0.56
ESRRG,0.261
ESS2,0.658
ESYT1,0.839
ESYT2,0.649
ESYT3,1.084
ETAA1,0.811
ETF1,0.189
ETFA,1.121
ETFB,0.833
ETFBKMT,1.026
ETFDH,1.118
ETFRF1,1.817
ETHE1,0.945
ETNK1,0.369
ETNK2,0.935
ETNPPL,0.651
ETS1,0.335
ETS2,0.434
ETV1,0.586
ETV2,1.303
ETV3,0.447
ETV3L,1.452
ETV4,0.714
ETV5,0.233
ETV6,0.438
ETV7,1.311
EVA1A,1.177
EVA1B,1.923
EVA1C,0.762
EVC,1.121
EVC2,1.01
EVI2A,1.297
EVI2B,1.187
EVI5,0.688
EVI5L,0.39
EVL,0.391
EVPL,0.984
EVPLL,1.565
EVX1,1.097
EVX2,1.228
EWSR1,0.193
EXD1,1.44
EXD2,0.785
EXD3,1.248
EXO1,0.997
EXO5,1.049
EXOC1,0.648
EXOC2,0.581
EXOC3,0.475
EXOC3L1,1.17
EXOC3L2,0.687
EXOC3L4,1.524
EXOC4,0.745
EXOC5,0.48
EXOC6,0.764
EXOC6B,0.647
EXOC7,0.687
EXOC8,0.523
EXOG,1.505
EXOSC1,1.051
EXOSC10,0.777
EXOSC2,0.992
EXOSC3,1.072
EXOSC4,1.297
EXOSC5,1.136
EXOSC6,1.952
EXOSC7,1.012
EXOSC8,1.879
EXOSC9,1.121
EXPH5,1.12
EXT1,0.339
EXT2,0.631
EXTL1,0.887
EXTL2,0.988
EXTL3,0.501
EYA1,0.204
EYA2,0.646
EYA3,0.582
EYA4,0.481
EYS,0.96
EZH1,0.415
EZH2,0.268
EZR,0.683
F10,0.968
F11,1.109
F11R,0.863
F12,1.286
F13A1,0.734
F13B,0.89
F2,0.552
F2R,0.88
F2RL1,0.859
F2RL2,1.393
F2RL3,1.746
F3,0.839
F5,0.704
F7,1.032
FA2H,0.575
FAAH,1.147
FAAP100,1.057
FAAP20,0.908
FAAP24,1.336
FABP1,1.478
FABP12,1.746
FABP2,1.341
FABP3,1.029
FABP4,1.872
FABP5,0.694
FABP6,1.095
FABP7,1.335
FABP9,1.5
FADD,1.715
FADS1,0.299
FADS2,0.396
FADS3,0.618
FADS6,1.233
FAF1,0.45
FAF2,0.261
FAH,0.979
FAHD1,1.48
FAHD2A,1.022
FAHD2B,0.888
FAIM,1.086
FAIM2,0.718
FAM102A,0.76
FAM102B,0.553
FAM104A,1.45
FAM107A,1.785
FAM107B,0.509
FAM110A,1.571
FAM110B,0.566
FAM110C,1.906
FAM110D,1.941
FAM111A,1.89
FAM111B,1.817
FAM114A1,1.019
FAM114A2,1.081
FAM117A,0.727
FAM117B,0.764
FAM118A,0.807
FAM118B,0.76
FAM120A,0.195
FAM120AOS,1.176
FAM120B,0.936
FAM124A,1.678
FAM124B,1.242
FAM126A,0.745
FAM126B,0.539
FAM131A,0.792
FAM131B,0.653
FAM131C,1.059
FAM133B,0.933
FAM135A,0.691
FAM135B,0.444
FAM136A,1.432
FAM13A,0.476
FAM13B,0.537
FAM13C,0.597
FAM149A,1.066
FAM149B1,0.894
FAM151A,1.067
FAM151B,1.059
FAM153A,0.999
FAM153B,0.584
FAM161A,0.888
FAM161B,0.916
FAM162A,1.369
FAM162B,1.672
FAM163A,1.204
FAM163B,1.565
FAM166A,1.256
FAM166B,1.404
FAM166C,1.26
FAM167A,1.815
FAM167B,1.109
FAM168A,0.255
FAM168B,1.375
FAM169A,0.428
FAM170A,0.97
FAM170B,1.764
FAM171A1,0.431
FAM171A2,0.584
FAM171B,0.367
FAM172A,0.904
FAM174A,1.766
FAM174B,1.831
FAM174C,1.846
FAM177A1,1.289
FAM177B,1.767
FAM178B,1.041
FAM180A,1.407
FAM180B,1.619
FAM181A,0.722
FAM181B,1.851
FAM183A,1.057
FAM184A,0.759
FAM184B,1.009
FAM185A,0.91
FAM186A,0.852
FAM186B,0.932
FAM187A,1.127
FAM187B,1.3
FAM189A1,1.055
FAM189A2,0.947
FAM189B,0.897
FAM193A,0.236
FAM193B,0.656
FAM200A,0.789
FAM200B,1.158
FAM204A,0.784
FAM205A,0.41
FAM207A,1.303
FAM209A,1.081
FAM209B,1.623
FAM20A,1.052
FAM20B,0.752
FAM20C,0.982
FAM210A,0.699
FAM210B,1.308
FAM214A,0.586
FAM214B,0.534
FAM216A,1.009
FAM216B,1.257
FAM217A,0.632
FAM217B,1.62
FAM219A,0.36
FAM219B,1.519
FAM220A,1.879
FAM221A,1.541
FAM221B,1.098
FAM222A,0.75
FAM222B,0.536
FAM227A,1.033
FAM227B,1.869
FAM228A,0.87
FAM228B,1.375
FAM229A,1.916
FAM229B,0.574
FAM234A,1.064
FAM234B,0.623
FAM237A,1.715
FAM240A,1.916
FAM240C,1.918
FAM241A,1.192
FAM241B,1.2
FAM24A,1.651
FAM24B,1.855
FAM25A,1.138
FAM25C,1.574
FAM25G,1.772
FAM32A,1.112
FAM3B,1.152
FAM3C,0.907
FAM3D,1.044
FAM43A,1.458
FAM43B,1.851
FAM47E,1.172
FAM47E-STBD1,1.149
FAM50B,0.6
FAM53A,1.558
FAM53B,0.568
FAM53C,0.463
FAM71A,1.867
FAM71B,1.248
FAM71C,1.136
FAM71D,0.974
FAM71E1,1.501
FAM71E2,1.177
FAM71F1,1.044
FAM71F2,1.355
FAM72A,0.639
FAM72B,1.153
FAM72C,1.787
FAM72D,0.92
FAM76A,1.117
FAM76B,0.516
FAM78A,0.831
FAM78B,0.898
FAM81A,0.625
FAM81B,1.223
FAM83A,1.022
FAM83B,0.915
FAM83C,1.321
FAM83D,1.362
FAM83E,1.423
FAM83F,1.359
FAM83G,0.862
FAM83H,1.104
FAM86B1,0.739
FAM86B2,0.636
FAM89A,1.957
FAM89B,1.461
FAM8A1,1.155
FAM90A1,1.343
FAM90A23P,1.671
FAM91A1,0.458
FAM95C,
FAM98A,0.607
FAM98B,1.282
FAM98C,1.375
FAN1,0.941
FANCA,1.329
FANCC,0.938
FANCD2,0.777
FANCD2OS,1.266
FANCE,0.854
FANCF,
FANCG,1.05
FANCI,0.643
FANCL,1.348
FANCM,0.754
FANK1,1.22
FAP,0.877
FAR1,0.595
FAR2,0.464
FARP1,0.548
FARP2,0.936
FARS2,1.015
FARSA,0.681
FARSB,1.131
FAS,0.286
FASLG,0.606
FASN,0.284
FASTK,0.652
FASTKD1,0.883
FASTKD2,1.203
FASTKD3,1.139
FASTKD5,0.915
FAT1,0.57
FAT2,0.505
FAT3,0.34
FAT4,0.313
FAU,0.196
FAXC,0.31
FAXDC2,1.371
FBF1,1.122
FBH1,0.431
FBL,0.344
FBLIM1,1.075
FBLN1,0.477
FBLN2,0.907
FBLN5,0.533
FBLN7,0.876
FBN1,0.105
FBN2,0.312
FBN3,0.83
FBP1,1.105
FBP2,1.099
FBRS,0.35
FBRSL1,0.802
FBXL12,1.399
FBXL13,0.846
FBXL14,0.614
FBXL15,1.048
FBXL16,0.544
FBXL17,0.167
FBXL18,1.078
FBXL19,0.487
FBXL2,0.614
FBXL20,0.317
FBXL22,1.628
FBXL3,0.51
FBXL4,0.731
FBXL5,0.372
FBXL6,1.315
FBXL7,0.465
FBXL8,1.819
FBXO10,0.605
FBXO11,0.118
FBXO15,0.747
FBXO16,0.724
FBXO17,1.54
FBXO2,1.374
FBXO21,0.529
FBXO22,0.573
FBXO24,0.583
FBXO25,1.25
FBXO27,1.485
FBXO28,0.437
FBXO3,0.438
FBXO30,0.499
FBXO31,0.682
FBXO32,0.54
FBXO33,0.458
FBXO34,0.759
FBXO36,1.437
FBXO38,0.481
FBXO39,0.819
FBXO4,1.126
FBXO40,1.163
FBXO41,0.644
FBXO42,0.271
FBXO43,0.454
FBXO44,0.883
FBXO45,0.286
FBXO46,0.67
FBXO47,0.779
FBXO48,1.282
FBXO5,0.327
FBXO6,0.813
FBXO7,0.955
FBXO8,0.695
FBXO9,0.605
FBXW10,0.751
FBXW11,0.291
FBXW12,1.04
FBXW2,0.423
FBXW4,0.854
FBXW5,1.803
FBXW7,0.142
FBXW8,1.064
FBXW9,0.877
FCAMR,1.172
FCAR,1.123
FCER1A,1.425
FCER1G,0.698
FCER2,1.087
FCF1,1.016
FCGBP,0.638
FCGR1A,0.685
FCGR1B,0.884
FCGR2A,0.863
FCGR2B,0.906
FCGR2C,
FCGR3A,1.012
FCGR3B,1.405
FCGRT,0.534
FCHO1,0.477
FCHO2,0.453
FCHSD1,1.285
FCHSD2,0.453
FCMR,1.149
FCN1,1.486
FCN2,1.086
FCN3,1.216
FCRL1,0.732
FCRL2,1.022
FCRL3,1.172
FCRL4,0.821
FCRL5,0.938
FCRL6,1.185
FCRLA,1.05
FCRLB,1.404
FCSK,1.234
FDCSP,1.631
FDFT1,1.701
FDPS,0.65
FDX1,1.293
FDX2,1.164
FDXACB1,1.014
FDXR,0.88
FECH,0.724
FEM1A,1.897
FEM1B,0.42
FEM1C,0.585
FEN1,1.071
FER,0.58
FER1L5,0.661
FER1L6,0.846
FERD3L,1.341
FERMT1,0.871
FERMT2,0.259
FERMT3,0.397
FES,0.94
FETUB,1.125
FEV,1.311
FEZ1,0.658
FEZ2,1.549
FEZF1,0.382
FEZF2,0.227
FFAR1,1.918
FFAR2,1.719
FFAR3,1.874
FFAR4,1.012
FGA,0.889
FGB,0.544
FGD2,0.775
FGD3,0.801
FGD4,0.486
FGD5,0.3
FGD6,0.663
FGF1,1.041
FGF10,0.267
FGF11,1.058
FGF12,0.836
FGF14,0.229
FGF17,0.367
FGF18,0.477
FGF19,1.856
FGF2,1.164
FGF20,0.99
FGF21,1.51
FGF22,1.957
FGF23,1.608
FGF3,1.815
FGF4,1.397
FGF5,1.319
FGF6,1.169
FGF7,0.643
FGF8,0.62
FGF9,0.418
FGFBP1,1.286
FGFBP2,1.798
FGFBP3,1.685
FGFR1,0.202
FGFR1OP2,0.799
FGFR2,0.185
FGFR3,0.427
FGFR4,0.884
FGFRL1,1.162
FGG,0.555
FGGY,1.162
FGL1,1.753
FGL2,0.775
FGR,0.536
FH,0.599
FHAD1,0.866
FHDC1,0.671
FHIP1A,0.877
FHIP1B,0.424
FHIP2A,0.668
FHIP2B,1.127
FHIT,1.57
FHL2,0.844
FHL3,0.835
FHL5,1.406
FHOD1,0.922
FHOD3,0.498
FIBCD1,1.53
FIBIN,1.096
FIBP,0.974
FICD,0.747
FIG4,0.944
FIGLA,1.279
FIGN,0.259
FIGNL1,0.615
FIGNL2,1.177
FILIP1,0.678
FILIP1L,0.462
FIP1L1,0.223
FIS1,1.1
FITM1,0.815
FITM2,0.989
FIZ1,1.053
FJX1,1.497
FKBP10,0.819
FKBP11,1.188
FKBP14,1.342
FKBP15,0.806
FKBP1A,0.859
FKBP1B,0.868
FKBP1C,1.84
FKBP2,1.051
FKBP3,0.863
FKBP4,0.718
FKBP5,0.626
FKBP6,0.972
FKBP7,1.321
FKBP8,0.168
FKBP9,0.729
FKBPL,1.396
FKRP,1.543
FKTN,1.022
FLACC1,1.181
FLAD1,0.709
FLCN,0.487
FLG,1.932
FLG2,1.097
FLI1,0.367
FLII,0.741
FLNB,0.492
FLNC,0.412
FLOT1,0.846
FLOT2,0.664
FLRT1,0.682
FLRT2,0.583
FLRT3,0.585
FLT1,0.258
FLT3,0.468
FLT3LG,0.474
FLT4,0.23
FLVCR1,1.013
FLVCR2,0.9
FLYWCH1,1.631
FLYWCH2,1.079
FMC1,1.039
FMC1-LUC7L2,0.647
FMN1,0.959
FMN2,0.457
FMNL1,0.435
